player_id,PLAYER,TEAM,MIN,PIE
marshna01,Naji Marshall,DAL,29.3,11.3
jrja01,Jaime Jaquez Jr.,MIA,28.9,11.3
queende01,Derik Queen,NOP,25.8,11.3
diabamo01,Moussa Diabaté,CHA,24.6,11.3
kornelu01,Luke Kornet,SAS,24,11.3
smithja01,Jalen Smith,CHI,20.2,11.3
robinmi01,Mitchell Robinson,NYK,19.7,11.3
derozde01,DeMar DeRozan,SAC,33.3,11.2
sharpsh01,Shaedon Sharpe,POR,30.3,11.2
suggsja01,Jalen Suggs,ORL,25.6,11.2
curryse01,Seth Curry,GSW,16,11.2
nancepe01,Pete Nance,MIL,7.1,11.2
georgpa01,Paul George,PHI,30.3,11.1
capelcl01,Clint Capela,HOU,11.4,11.1
bridgmi01,Mikal Bridges,NYK,34.6,11
whitede01,Derrick White,BOS,34.1,11
beysa01,Saddiq Bey,NOP,30,11
millebr01,Brandon Miller,CHA,30,11
westbru01,Russell Westbrook,SAC,29.6,10.9
salanti01,Tidjane Salaün,CHA,16.2,10.9
poeltja01,Jakob Poeltl,TOR,25.3,10.8
harrito01,Tobias Harris,DET,27.5,10.7
podzibr01,Brandin Podziemski,GSW,26.8,10.7
dosunay01,Ayo Dosunmu,CHI,26,10.7
rolliry01,Ryan Rollins,MIL,31.8,10.6
castlst01,Stephon Castle,SAS,31,10.6
antetth01,Thanasis Antetokounmpo,MIL,3,10.6
okongon01,Onyeka Okongwu,ATL,32,10.5
kalkbry01,Ryan Kalkbrenner,CHA,24,10.5
easonta01,Tari Eason,HOU,23.9,10.5
willibr01,Brandon Williams,DAL,22.2,10.5
gaffoda01,Daniel Gafford,DAL,20.6,10.5
matkoka01,Karlo Matković,NOP,12.7,10.5
hallpj01,PJ Hall,CHA,10.3,10.5
horfoal01,Al Horford,GSW,19.8,10.4
jenkida01,Daniss Jenkins,DET,16.6,10.4
berinjo01,Joan Beringer,MIN,7.2,10.4
livinch01,Chris Livingston,CLE,5.8,10.4
jrja01,Jaren Jackson Jr.,MEM,30.6,10.3
garlada01,Darius Garland,CLE,30.5,10.3
landajo01,Jock Landale,MEM,23.2,10.3
toppiob01,Obi Toppin,IND,27.4,10.2
sheppre01,Reed Sheppard,HOU,24.8,10.2
harpedy01,Dylan Harper,SAS,21.2,10.2
champju01,Justin Champagnie,WAS,18.8,10.2
branhma01,Malaki Branham,WAS,9.2,10.2
leonsma01,Malevy Leons,GSW,4.4,10.2
allengr01,Grayson Allen,PHX,29.8,10.1
garzalu01,Luka Garza,BOS,16.7,10.1
willike01,Kenrich Williams,OKC,15.5,10.1
schrdde01,Dennis Schröder,SAC,26.3,10
adamsst01,Steven Adams,HOU,22.8,10
banede01,Desmond Bane,ORL,34.1,9.9
washipj01,P.J. Washington,DAL,31,9.9
mccolcj01,CJ McCollum,ATL,30.1,9.9
whiteco01,Coby White,CHI,28.9,9.9
thompau01,Ausar Thompson,DET,25.7,9.9
kuminjo01,Jonathan Kuminga,GSW,23.8,9.9
konchjo01,John Konchar,MEM,14.2,9.9
jackstr01,Trayce Jackson-Davis,GSW,11.6,9.9
gardnmy01,Myron Gardner,MIA,6.9,9.9
daniedy01,Dyson Daniels,ATL,34.2,9.8
alexani01,Nickeil Alexander-Walker,ATL,32.9,9.8
grantje01,Jerami Grant,POR,29.2,9.8
goodwjo01,Jordan Goodwin,PHX,21.7,9.8
russeda01,D'Angelo Russell,DAL,19,9.8
hayesja01,Jaxson Hayes,LAL,17.7,9.8
minotjo01,Josh Minott,BOS,17.2,9.8
vukcetr01,Tristan Vukcevic,WAS,11.4,9.8
tysonja01,Jaylon Tyson,CLE,28,9.7
simonan01,Anfernee Simons,BOS,24.5,9.7
jrcr01,Craig Porter Jr.,CLE,17.6,9.7
carlsbr01,Branden Carlson,OKC,10.8,9.7
plumlma01,Mason Plumlee,CHA,8.9,9.7
huffja01,Jay Huff,IND,19.3,9.6
stewais01,Isaiah Stewart,DET,23.5,9.5
fontesi01,Simone Fontecchio,MIA,16.9,9.5
hylanbo01,Bones Hyland,MIN,13.9,9.5
spencpa01,Pat Spencer,GSW,13.7,9.5
alexatr01,Trey Alexander,NOP,8.3,9.5
lavinza01,Zach LaVine,SAC,32.2,9.4
blackan01,Anthony Black,ORL,31,9.4
grimequ01,Quentin Grimes,PHI,30.5,9.4
jrwe01,Wendell Carter Jr.,ORL,30.1,9.4
buzelma01,Matas Buzelis,CHI,27.9,9.4
collijo01,John Collins,LAC,27.4,9.4
monkma01,Malik Monk,SAC,22.4,9.4
anderky01,Kyle Anderson,UTA,20.1,9.4
jacksis01,Isaiah Jackson,IND,16.7,9.4
iide01,Dereck Lively II,DAL,16.5,9.4
mathube01,Bennedict Mathurin,IND,31.7,9.3
chrisma01,Max Christie,DAL,29.4,9.3
champju01,Julian Champagnie,SAS,28.5,9.3
pickeja01,Jalen Pickett,DEN,18.8,9.3
willija01,Jaylin Williams,OKC,18.4,9.3
milleem01,Emanuel Miller,CHI,6.6,9.3
anunoog01,OG Anunoby,NYK,32.8,9.2
divindo01,Donte DiVincenzo,MIN,31.8,9.2
georgky01,Kyshawn George,WAS,31.3,9.2
kuzmaky01,Kyle Kuzma,MIL,26.4,9.2
colliis01,Isaiah Collier,UTA,23.6,9.2
raynama01,Maxime Raynaud,SAC,22.7,9.2
kennalu01,Luke Kennard,ATL,20.6,9.2
carusal01,Alex Caruso,OKC,18.2,9.2
smithdr01,Dru Smith,MIA,17.1,9.2
iveyja01,Jaden Ivey,DET,17,9.2
prospol01,Olivier-Maxence Prosper,MEM,11.2,9.2
juzanjo01,Johnny Juzang,MIN,4,9.2
iiga01,Gary Payton II,GSW,12.7,9.1
wiggian01,Andrew Wiggins,MIA,31.3,9
murraco01,Collin Murray-Boyles,TOR,21.7,9
achiupr01,Precious Achiuwa,SAC,20.9,9
wolfda01,Danny Wolf,BKN,19.1,9
watfotr01,Trendon Watford,PHI,15.3,9
kolekty01,Tyler Kolek,NYK,13.5,9
isaacjo01,Jonathan Isaac,ORL,10.1,9
gillan01,Anthony Gill,WAS,4.4,9
brookdi01,Dillon Brooks,PHX,31.1,8.9
wiggiaa01,Aaron Wiggins,OKC,23.7,8.9
iiro01,Ronald Holland II,DET,21,8.9
leverca01,Caris LeVert,DET,19.7,8.9
cardwdy01,Dylan Cardwell,SAC,19.7,8.9
greenja01,Javonte Green,DET,19.2,8.9
postqu01,Quinten Post,GSW,17.9,8.9
loveke01,Kevin Love,UTA,17.6,8.9
anthoco01,Cole Anthony,MIL,15.1,8.9
battlja01,Jamison Battle,TOR,8.6,8.9
watsope01,Peyton Watson,DEN,30.1,8.8
thomaca01,Cam Thomas,BKN,24.3,8.8
filipky01,Kyle Filipowski,UTA,22.2,8.8
mcdanja01,Jaden McDaniels,MIN,32.1,8.7
turnemy01,Myles Turner,MIL,28.5,8.7
missiyv01,Yves Missi,NOP,19.2,8.7
pottemi01,Micah Potter,IND,17.6,8.7
santogu01,Gui Santos,GSW,12.4,8.7
millele01,Leonard Miller,MIN,5.1,8.7
mcbrimi01,Miles McBride,NYK,28,8.6
hausesa01,Sam Hauser,BOS,23.6,8.6
huertke01,Kevin Huerter,CHI,23.4,8.6
jrvi01,Vince Williams Jr.,MEM,21.5,8.6
sensabr01,Brice Sensabaugh,UTA,21.2,8.6
meltode01,De'Anthony Melton,GSW,21,8.6
joeis01,Isaiah Joe,OKC,20,8.6
nembhry01,Ryan Nembhard,DAL,19.5,8.6
jacksqu01,Quenton Jackson,IND,15.2,8.6
looneke01,Kevon Looney,NOP,13.9,8.6
greenje01,Jeff Green,HOU,4.4,8.6
dadiepa01,Pacôme Dadiet,NYK,3.2,8.6
edgecvj01,VJ Edgecombe,PHI,35.6,8.5
jrja01,Jabari Smith Jr.,HOU,35,8.5
fearsje01,Jeremiah Fears,NOP,26,8.5
merrisa01,Sam Merrill,CLE,25.7,8.5
caldwke01,Kentavious Caldwell-Pope,MEM,20.9,8.5
kispeco01,Corey Kispert,ATL,19,8.5
hieldbu01,Buddy Hield,GSW,17.2,8.5
pendano01,Noah Penda,ORL,13.9,8.5
cissemo01,Moussa Cisse,DAL,11.6,8.5
mclaujo01,Jordan McLaughlin,SAS,5.9,8.5
jrke01,Kelly Oubre Jr.,PHI,31.8,8.4
barlodo01,Dominick Barlow,PHI,23.6,8.4
shamela01,Landry Shamet,NYK,20.3,8.4
walshjo01,Jordan Walsh,BOS,18.6,8.4
onealro01,Royce O'Neale,PHX,29.5,8.3
mitchda01,Davion Mitchell,MIA,29.2,8.3
jrti01,Tim Hardaway Jr.,DEN,27.3,8.3
dmineg01,Egor Dëmin,BKN,24.7,8.3
silvatr01,Tristan da Silva,ORL,22.5,8.3
thompkl01,Klay Thompson,DAL,22,8.3
gordoer01,Eric Gordon,PHI,12.3,8.3
wallake01,Keaton Wallace,ATL,11.6,8.3
olynyke01,Kelly Olynyk,SAS,9.5,8.3
niedeya01,Yanic Konan Niederhäuser,LAC,8.6,8.3
vassede01,Devin Vassell,SAS,31.4,8.2
huntede01,De'Andre Hunter,CLE,26.2,8.2
sheadja01,Jamal Shead,TOR,22.4,8.2
loveca01,Caleb Love,POR,22.3,8.2
alvarjo01,Jose Alvarado,NOP,21.9,8.2
martity01,Tyrese Martin,BKN,19.1,8.2
whitmca01,Cam Whitmore,WAS,16.9,8.2
richaja01,Jase Richardson,ORL,12,8.2
reevean01,Antonio Reeves,CHA,7.9,8.2
murrake01,Keegan Murray,SAC,35.9,8.1
moodymo01,Moses Moody,GSW,24.5,8.1
larsspe01,Pelle Larsson,MIA,23.6,8.1
walkeja01,Jarace Walker,IND,23.5,8.1
vandeja01,Jarred Vanderbilt,LAL,19.5,8.1
weslebl01,Blake Wesley,POR,16.3,8.1
greendr01,Draymond Green,GSW,26.5,8
jrde01,Derrick Jones Jr.,LAC,24.2,8
jovini01,Nikola Jović,MIA,19,8
jacksgg01,GG Jackson,MEM,16.5,8
proctty01,Tyrese Proctor,CLE,10.6,8
ingraha01,Harrison Ingram,SAS,3.6,8
johnstr01,Tre Johnson,WAS,25.5,7.9
nnajize01,Zeke Nnaji,DEN,13.8,7.9
chrisca01,Cam Christie,LAC,10.1,7.9
balllo01,Lonzo Ball,CLE,20.8,7.8
ighodos01,Oso Ighodaro,PHX,20,7.8
newelas01,Asa Newell,ATL,10.6,7.8
searsma01,Mark Sears,MIL,3.7,7.8
dunnry01,Ryan Dunn,PHX,20.5,7.7
bradlto01,Tony Bradley,IND,11,7.7
lawsoaj01,A.J. Lawson,TOR,9.7,7.7
jrwa01,Walter Clayton Jr.,UTA,18.1,7.6
morrimo01,Monte Morris,IND,10.8,7.6
carteje01,Jevon Carter,CHI,10.6,7.6
brownko01,Kobe Brown,LAC,9.2,7.6
richawi01,Will Richard,GSW,19.5,7.5
diengou01,Ousmane Dieng,OKC,11.8,7.5
middlkh01,Khris Middleton,WAS,24.5,7.4
wadede01,Dean Wade,CLE,22.9,7.4
tomlina01,Nae'Qwan Tomlin,CLE,16.8,7.4
robinor01,Orlando Robinson,ORL,6.2,7.4
laravja01,Jake LaRavia,LAL,27.4,7.3
coulibi01,Bilal Coulibaly,WAS,26.6,7.3
poolejo01,Jordan Poole,NOP,25.4,7.3
martial01,Alijah Martin,TOR,8.8,7.3
mogbojo01,Jonathan Mogbo,TOR,6.6,7.3
robindu01,Duncan Robinson,DET,28.6,7.2
mathega01,Garrison Mathews,IND,13.1,7.2
smallja01,Javon Small,MEM,12.3,7.2
cartede01,Devin Carter,SAC,8.3,7.2
rileywi01,Will Riley,WAS,14.1,7.1
travelu01,Luke Travers,CLE,8.6,7.1
tillmxa01,Xavier Tillman,BOS,8.4,7.1
hachiru01,Rui Hachimura,LAL,30.1,7
barneha01,Harrison Barnes,SAS,28.1,7
dunnkr01,Kris Dunn,LAC,27.3,7
furphjo01,Johnny Furphy,IND,18,7
gueyemo01,Mouhamed Gueye,ATL,16,7
richani01,Nick Richards,PHX,9.1,7
diawamo01,Mohamed Diawara,NYK,5.1,7
clownno01,Noah Clowney,BKN,28.8,6.9
mannte01,Terance Mann,BKN,25.4,6.9
mccaija01,Jared McCain,PHI,17.1,6.9
dickgr01,Gradey Dick,TOR,16.5,6.9
robinje01,Jeremiah Robinson-Earl,DAL,16.4,6.9
poweldw01,Dwight Powell,DAL,15.3,6.9
hendrta01,Taylor Hendricks,UTA,14.9,6.9
eubandr01,Drew Eubanks,SAC,14,6.9
mccluma01,Mac McClung,IND,11.3,6.9
strawju01,Julian Strawther,DEN,10.5,6.9
terryda01,Dalen Terry,CHI,9.7,6.9
laniech01,Chaz Lanier,DET,9.3,6.9
hukpoar01,Ariel Hukporti,NYK,8.9,6.9
jrro01,Ron Harper Jr.,BOS,5,6.9
inglejo01,Joe Ingles,MIN,4.3,6.9
nesmiaa01,Aaron Nesmith,IND,30.5,6.8
gonzlhu01,Hugo González,BOS,15.1,6.8
howarje01,Jett Howard,ORL,11,6.8
jrke01,Kevin McCullar Jr.,NYK,7.3,6.8
camarto01,Toumani Camara,POR,33.9,6.7
johnsca01,Cameron Johnson,DEN,30.6,6.7
carribu01,Bub Carrington,WAS,28.6,6.7
brownbr01,Bruce Brown,DEN,24.3,6.7
krejvt01,Vít Krejčí,ATL,22.2,6.7
hardyja01,Jaden Hardy,DAL,12.7,6.7
william01,Amari Williams,BOS,8.6,6.7
reathdu01,Duop Reath,POR,8.1,6.7
wallaca01,Cason Wallace,OKC,26.4,6.6
risacza01,Zaccharie Risacher,ATL,24.6,6.6
mykhasv01,Svi Mykhailiuk,UTA,24,6.6
willizi01,Ziaire Williams,BKN,22.9,6.6
mcneeli01,Liam McNeeley,CHA,12.2,6.6
kellymi01,Miles Kelly,DAL,8.1,6.6
mcgowbr01,Bryce McGowens,NOP,19.4,6.5
lopezbr01,Brook Lopez,LAC,17,6.5
jonesty01,Tyus Jones,ORL,16.2,6.5
bassech01,Charles Bassey,PHI,15.3,6.5
iida01,DaRon Holmes II,DEN,14.1,6.5
simsje01,Jericho Sims,MIL,13.9,6.5
tateja01,Jae'Sean Tate,HOU,7.6,6.5
braunch01,Christian Braun,DEN,28.9,6.4
bogdabo01,Bogdan Bogdanović,LAC,22.5,6.4
willigr01,Grant Williams,CHA,17.4,6.4
paulch01,Chris Paul,LAC,14.2,6.4
liveris01,Isaiah Livers,PHX,10.4,6.4
barnhbr01,Brooks Barnhizer,OKC,7.5,6.4
